id,comment,signalId,memberId,userType,reply,commentId,status,replyCommentMember,replyName,created_at,updated_at
1,Sir this trade close or writing,10,5734,client,0,0,0,,,2021-02-02T05:26:11.000000Z,2021-02-02T05:26:11.000000Z
2,Sir this trade close or writing,10,5734,client,0,0,0,,,2021-02-02T05:26:13.000000Z,2021-02-02T05:26:13.000000Z
3,hmmmmmmmmm,20,5699,client,0,0,0,,,2021-02-18T10:26:53.000000Z,2021-02-18T10:26:53.000000Z
4,Dear sir i followed your signal and buy at level. 1773.,21,66,client,0,0,0,,,2021-02-18T10:51:23.000000Z,2021-02-18T10:51:23.000000Z
5,Thanks sir,21,5838,client,0,0,0,,,2021-02-18T11:53:53.000000Z,2021-02-18T11:53:53.000000Z
6,laga di trade ?,21,5699,client,21,5,0,,,2021-02-18T12:14:45.000000Z,2021-02-18T12:14:45.000000Z
7,Good buying entry brother . Allah kary ap bohat profit earn kary,21,5699,client,21,4,0,,,2021-02-18T12:15:25.000000Z,2021-02-18T12:15:25.000000Z
8,Done,22,5846,client,0,0,0,,,2021-02-18T12:44:08.000000Z,2021-02-18T12:44:08.000000Z
9,Good . I hope app ki Trade profit mel chal rahi ho ge es time . InshaAllah,22,5699,client,22,8,0,,,2021-02-18T13:00:44.000000Z,2021-02-18T13:00:44.000000Z
10,Hello sir vip member kesy join karo,22,5838,client,0,0,0,,,2021-02-18T13:22:41.000000Z,2021-02-18T13:22:41.000000Z
11,VIP member join nhi ho rha,22,5846,client,0,0,0,,,2021-02-18T13:43:21.000000Z,2021-02-18T13:43:21.000000Z
12,Yes,22,5846,client,22,8,0,,@Raheel,2021-02-18T13:44:20.000000Z,2021-02-18T13:44:20.000000Z
13,Abi 1.3900 ko touch nhi kia tou kaisy trade in profit?,22,5856,client,0,0,0,,,2021-02-18T15:36:43.000000Z,2021-02-18T15:36:43.000000Z
14,Raheel bhai </br>Main ny 1776 sy buy kiya hy gold ko,21,5865,client,0,0,0,,,2021-02-18T16:38:53.000000Z,2021-02-18T16:38:53.000000Z
15,اسلام و علیکم</br>سر میں نے 1775 سے بائے کر لیا ہے </br>تھینکس سر,21,5876,client,0,0,0,,,2021-02-18T18:04:03.000000Z,2021-02-18T18:04:03.000000Z
16,Nice sir,22,5912,client,0,0,0,,,2021-02-19T07:29:26.000000Z,2021-02-19T07:29:26.000000Z
17,First i will check in Demo,21,5932,client,0,0,0,,,2021-02-19T21:13:59.000000Z,2021-02-19T21:13:59.000000Z
18,What about usdt?,24,5957,client,0,0,0,,,2021-02-20T13:55:45.000000Z,2021-02-20T13:55:45.000000Z
19,Good,21,56,client,21,14,0,,,2021-02-20T14:47:32.000000Z,2021-02-20T14:47:32.000000Z
20,Good,21,56,client,0,0,0,,,2021-02-20T14:47:48.000000Z,2021-02-20T14:47:48.000000Z
21,sir kon say time frame par ap trade karty ho,24,5912,client,0,0,0,,,2021-02-21T05:54:43.000000Z,2021-02-21T05:54:43.000000Z
22,Thanks Sir,21,5701,client,0,0,0,,,2021-02-21T13:38:17.000000Z,2021-02-21T13:38:17.000000Z
23,By 1769🙂,21,10,client,0,0,0,,,2021-02-21T14:00:03.000000Z,2021-02-21T14:00:03.000000Z
24,Bnb/btc ka rate to kafi necha ja rha ha.meri buy 5300 per ha ka krna chaia hold kro ya nikal jwon??,24,5972,client,0,0,0,,,2021-02-22T10:20:38.000000Z,2021-02-22T10:20:38.000000Z
25,Salam new signal nai hai,21,5991,client,0,0,0,,,2021-02-22T11:30:25.000000Z,2021-02-22T11:30:25.000000Z
26,Sir 1759 buy demo acount,21,13,client,0,0,0,,,2021-02-22T16:04:59.000000Z,2021-02-22T16:04:59.000000Z
27,when will be bitcoin crash and do you have any information about bitcoin crash news,20,5996,client,0,0,0,,,2021-02-22T21:35:07.000000Z,2021-02-22T21:35:07.000000Z
28,thanks sir g,21,5766,client,0,0,0,,,2021-02-23T05:21:05.000000Z,2021-02-23T05:21:05.000000Z
29,🥰💞,24,5766,client,0,0,0,,,2021-02-23T05:22:21.000000Z,2021-02-23T05:22:21.000000Z
30,thanks sir,25,5703,client,0,0,0,,,2021-02-23T10:02:50.000000Z,2021-02-23T10:02:50.000000Z
31,thanks sir,25,5703,client,0,0,0,,,2021-02-23T10:02:52.000000Z,2021-02-23T10:02:52.000000Z
32,,25,5985,client,25,31,0,,,2021-02-23T10:09:36.000000Z,2021-02-23T10:09:36.000000Z
33,Good,25,5985,client,25,31,0,,,2021-02-23T10:09:41.000000Z,2021-02-23T10:09:41.000000Z
34,thank you dear sir,25,5722,client,0,0,0,,,2021-02-23T10:19:54.000000Z,2021-02-23T10:19:54.000000Z
35,Thanks Bhai Jan 😊😀,25,5809,client,0,0,0,,,2021-02-23T10:26:58.000000Z,2021-02-23T10:26:58.000000Z
36,aoa sir trade laga di h on gemo account par,25,5937,client,0,0,0,,,2021-02-23T10:51:45.000000Z,2021-02-23T10:51:45.000000Z
37,aoa sir trade laga di h on gemo account par,25,5937,client,0,0,0,,,2021-02-23T10:51:49.000000Z,2021-02-23T10:51:49.000000Z
38,aoa sir trade laga di h on gemo account par,25,5937,client,0,0,0,,,2021-02-23T10:51:53.000000Z,2021-02-23T10:51:53.000000Z
39,🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰 love ❤️❤️❤️❤️❤️❤️❤️❤️❤️ best 👍😘👍😘👍,25,20,client,0,0,0,,,2021-02-23T12:04:13.000000Z,2021-02-23T12:04:13.000000Z
40,i agree with you and lets do trade on your call,26,6013,client,0,0,0,,,2021-02-23T12:19:28.000000Z,2021-02-23T12:19:28.000000Z
41,thank you boss,26,5722,client,0,0,0,,,2021-02-23T12:24:19.000000Z,2021-02-23T12:24:19.000000Z
42,sir BTC Ka ?,26,5722,client,0,0,0,,,2021-02-23T12:25:21.000000Z,2021-02-23T12:25:21.000000Z
43,💰✅,25,5793,client,0,0,0,,,2021-02-23T13:49:42.000000Z,2021-02-23T13:49:42.000000Z
44,SL hit☹️,26,6025,client,0,0,0,,,2021-02-23T15:33:52.000000Z,2021-02-23T15:33:52.000000Z
45,Sl hit hogya,26,5873,client,0,0,0,,,2021-02-23T15:48:05.000000Z,2021-02-23T15:48:05.000000Z
46,السلام علیکم </br>Raheel bhai gbpusd sell aur Eurousd buy kaisy ho sakta hy jab ky dono pair ky sath usd hy can you explain me please,26,5865,client,0,0,0,,,2021-02-23T16:15:53.000000Z,2021-02-23T16:15:53.000000Z
47,السلام علیکم </br>Raheel bhai gbpusd sell aur Eurousd buy kaisy ho sakta hy jab ky dono pair ky sath usd hy can you explain me please,25,5865,client,0,0,0,,,2021-02-23T16:16:33.000000Z,2021-02-23T16:16:33.000000Z
48,Again Take Sell </br>target 1.40772/1.4025</br>STOL loss 1.41250,26,6029,client,0,0,0,,,2021-02-23T16:41:29.000000Z,2021-02-23T16:41:29.000000Z
49,Sl hit,26,58,client,0,0,0,,,2021-02-23T17:05:42.000000Z,2021-02-23T17:05:42.000000Z
50,Gbpusd sl hit,26,5991,client,0,0,0,,,2021-02-23T17:44:54.000000Z,2021-02-23T17:44:54.000000Z
51,Gbpusd aj ka pivot 1.40420 hai agar is se nechy market close hoti then sell thi ? </br> Reheel sir u agree with me ?,26,5885,client,0,0,0,,,2021-02-23T18:25:41.000000Z,2021-02-23T18:25:41.000000Z
52,0.00535 ka konsa coin buy kren ?,24,5847,client,0,0,0,,,2021-02-23T19:23:07.000000Z,2021-02-23T19:23:07.000000Z
53,Again sl hit,26,5873,client,26,48,0,,,2021-02-24T05:55:10.000000Z,2021-02-24T05:55:10.000000Z
54,,26,5851,client,26,41,0,,,2021-02-24T08:46:35.000000Z,2021-02-24T08:46:35.000000Z
55,Sir btc up ya down hoga,26,5851,client,26,51,0,,,2021-02-24T08:47:36.000000Z,2021-02-24T08:47:36.000000Z
56,Only Eurusd gbpusd and gold,26,5885,client,26,51,0,,@Ayaz,2021-02-24T09:19:33.000000Z,2021-02-24T09:19:33.000000Z
